model,split,method,seed,forget_leakage,forget_leakage_knowmem,forget_leakage_verbmem,retain_accuracy,response_quality,forget_rq,retain_rq
Llama-2-7b-hf,Books,GradAscent,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,Books,GradAscent,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,Books,GradAscent,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,Books,GradAscent,789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,Books,GradAscent,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,Books,RMU,42,0.295,0.48,0.11,1.41,1.227,1.005,1.67
Llama-2-7b-hf,Books,RMU,123,0.34,0.52,0.16,1.42,1.23,1.0,1.69
Llama-2-7b-hf,Books,RMU,456,0.3,0.49,0.11,1.38,1.187,0.95,1.66
Llama-2-7b-hf,Books,RMU,789,0.34,0.52,0.16,1.44,1.24,1.01,1.7
Llama-2-7b-hf,Books,RMU,1024,0.315,0.5,0.13,1.41,1.227,0.995,1.69
Llama-2-7b-hf,Books,PDU,42,0.5,0.51,0.49,1.01,1.013,0.95,1.14
Llama-2-7b-hf,Books,PDU,123,0.515,0.48,0.55,0.97,1.0,0.935,1.13
Llama-2-7b-hf,Books,PDU,456,0.545,0.47,0.62,0.98,1.003,0.925,1.16
Llama-2-7b-hf,Books,PDU,789,0.545,0.47,0.62,1.01,1.023,0.94,1.19
Llama-2-7b-hf,Books,PDU,1024,0.56,0.52,0.6,0.97,1.017,0.95,1.15
Llama-2-7b-hf,Books,SimNPO,42,0.25,0.5,0.0,1.31,0.93,0.575,1.64
Llama-2-7b-hf,Books,SimNPO,123,0.245,0.49,0.0,1.26,0.95,0.62,1.61
Llama-2-7b-hf,Books,SimNPO,456,0.23,0.46,0.0,1.28,0.927,0.58,1.62
Llama-2-7b-hf,Books,SimNPO,789,0.285,0.56,0.01,1.29,0.953,0.62,1.62
Llama-2-7b-hf,Books,SimNPO,1024,0.54,0.54,0.0,1.27,1.395,1.19,1.6
Llama-2-7b-hf,Books,GradDiff,42,0.0,0.0,0.0,0.06,0.007,0.0,0.02
Llama-2-7b-hf,Books,GradDiff,123,0.0,0.0,0.0,0.03,0.0,0.0,0.0
Llama-2-7b-hf,Books,GradDiff,456,0.0,0.0,0.0,0.07,0.003,0.0,0.01
Llama-2-7b-hf,Books,GradDiff,789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,Books,GradDiff,1024,0.0,0.0,0.0,0.05,0.005,0.0,0.01
Llama-2-7b-hf,Books,NPO,42,0.88,0.75,1.01,1.26,1.663,1.7,1.59
Llama-2-7b-hf,Books,NPO,123,0.91,0.74,1.08,1.23,1.71,1.755,1.62
Llama-2-7b-hf,Books,NPO,456,0.885,0.66,1.11,1.31,1.727,1.78,1.62
Llama-2-7b-hf,Books,NPO,789,0.905,0.71,1.1,1.3,1.72,1.77,1.62
Llama-2-7b-hf,Books,NPO,1024,0.965,0.77,1.16,1.3,1.767,1.84,1.62
